"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","SUICIDE","TOT","100000PER","A","2019",10,
"NLD","SUICIDE","TOT","100000PER","A","2020",10,
"POL","SUICIDE","TOT","100000PER","A","2018",11.3,
"POL","SUICIDE","TOT","100000PER","A","2019",11.6,
"PRT","SUICIDE","TOT","100000PER","A","2018",8.5,
"SVK","SUICIDE","TOT","100000PER","A","2018",7.4,
"SVK","SUICIDE","TOT","100000PER","A","2019",6.6,
"ESP","SUICIDE","TOT","100000PER","A","2018",6.9,
"ESP","SUICIDE","TOT","100000PER","A","2019",7.1,
"ESP","SUICIDE","TOT","100000PER","A","2020",7.5,
"SWE","SUICIDE","TOT","100000PER","A","2018",12.4,
"CHE","SUICIDE","TOT","100000PER","A","2018",11.1,
"CHE","SUICIDE","TOT","100000PER","A","2019",11.1,
"GBR","SUICIDE","TOT","100000PER","A","2018",8.1,
"GBR","SUICIDE","TOT","100000PER","A","2019",8.6,
"GBR","SUICIDE","TOT","100000PER","A","2020",8.4,
"USA","SUICIDE","TOT","100000PER","A","2018",15,
"USA","SUICIDE","TOT","100000PER","A","2019",14.7,
"USA","SUICIDE","TOT","100000PER","A","2020",14.1,
"BRA","SUICIDE","TOT","100000PER","A","2018",6.5,
"BRA","SUICIDE","TOT","100000PER","A","2019",6.7,
"CHL","SUICIDE","TOT","100000PER","A","2018",10,
"EST","SUICIDE","TOT","100000PER","A","2018",14,
"EST","SUICIDE","TOT","100000PER","A","2019",14.1,
"EST","SUICIDE","TOT","100000PER","A","2020",15.2,
"ISR","SUICIDE","TOT","100000PER","A","2018",6.2,
"ISR","SUICIDE","TOT","100000PER","A","2019",5.7,
"ISR","SUICIDE","TOT","100000PER","A","2020",5.7,
"RUS","SUICIDE","TOT","100000PER","A","2019",11.7,
"SVN","SUICIDE","TOT","100000PER","A","2018",15.7,
"SVN","SUICIDE","TOT","100000PER","A","2019",17.2,
"SVN","SUICIDE","TOT","100000PER","A","2020",15.7,
"ZAF","SUICIDE","TOT","100000PER","A","2018",0.6,
"TUR","SUICIDE","TOT","100000PER","A","2019",4.4,"D"
"COL","SUICIDE","TOT","100000PER","A","2018",6,
"COL","SUICIDE","TOT","100000PER","A","2019",5.9,
"LVA","SUICIDE","TOT","100000PER","A","2018",14.7,
"LVA","SUICIDE","TOT","100000PER","A","2019",14.4,
"LVA","SUICIDE","TOT","100000PER","A","2020",14.9,
"LTU","SUICIDE","TOT","100000PER","A","2018",22.9,
"LTU","SUICIDE","TOT","100000PER","A","2019",22.2,
"LTU","SUICIDE","TOT","100000PER","A","2020",20.3,
"CRI","SUICIDE","TOT","100000PER","A","2018",7.9,
"CRI","SUICIDE","TOT","100000PER","A","2019",7.8,
"CRI","SUICIDE","TOT","100000PER","A","2020",7,
"ARG","SUICIDE","TOT","100000PER","A","2018",8,
"ARG","SUICIDE","TOT","100000PER","A","2019",7.8,
"BGR","SUICIDE","TOT","100000PER","A","2018",8.3,
"BGR","SUICIDE","TOT","100000PER","A","2019",7.4,
"HRV","SUICIDE","TOT","100000PER","A","2019",13,
"PER","SUICIDE","TOT","100000PER","A","2018",1.7,
"ROU","SUICIDE","TOT","100000PER","A","2018",9.5,
"ROU","SUICIDE","TOT","100000PER","A","2019",8.6,
